id,cba_section_id,article_number,article_title,section_number,section_title,question,answer,citation,topic,difficulty,created_at,updated_at
009fce1f-2e3e-4562-8f7d-6d4bca73aa37,eeeb4e4a-e32e-4fb7-ab12-23f30e6f3efe,Article XIII,CIRCUMVENTION,3,Penalties.,Under what circumstances can a player's contract be voided due to a violation of circumvention rules?,"A player's contract can be voided if both the player (or their representative) and the team (or team affiliate) are found to have committed a violation under Section 1 or 2 of the circumvention rules. This can include the voiding of any player contract, renegotiation, extension, or amendment.","Article XIII, Section 3",draft,medium,2025-10-15 06:25:40.477553,2025-10-15 06:25:40.477553
00aa037d-be7f-42e1-93c3-7e28a0597e7b,f3a44ccc-231b-4d62-ae7c-152d5b5de835,Article XXXI,GRIEVANCE AND ARBITRATION PROCEDURE AND SPECIAL PROCEDURES WITH RESPECT TO DISPUTES INVOLVING PLAYER DISCIPLINE,Section 11,Disputes with Respect to the Terms of a Player,Describe a scenario where the Players Association can initiate a Grievance regarding a Player Contract term.,The Players Association can initiate a Grievance if it believes a term is not permitted by the Agreement. The thirty-day period starts when the Player Contract or its amendment containing the disputed term was first available for inspection by the Players Association.,"Article XXXI, Section Section 11",arbitration,medium,2025-10-15 02:51:21.593207,2025-10-15 02:51:21.593207
00b72c2b-edc4-4af8-8bf8-fb35787cce44,53e5fd30-a2cf-40b2-84e7-c8fe3d39dbb4,Article VII,"BASKETBALL RELATED INCOME,",2,"Salary Cap, Minimum Team Salary, Tax Level, Apron","Define 'Draft Pick Penalty' as used in Article VII, Section 2(f)(1)(ii).","A 'Draft Pick Penalty' refers to a scenario where a team's first-round draft pick becomes the last pick in the first round of the applicable NBA Draft, based on certain conditions related to the team's Apron Team Salary exceeding the Second Apron Level.","Article VII, Section 2",salary-cap,easy,2025-10-15 06:21:23.72058,2025-10-15 06:21:23.72058
00ce3af5-3cf2-4c19-ad25-b3e0331981c3,366963f7-8c0e-4524-bfd6-be1572d2e344,Article V,COMPENSATION AND EXPENSES,1,Salary.,Define 'Active or Inactive List' in the context of a player drafted into military service.,"The 'Active or Inactive List' refers to the roster status of a player who is still considered part of the Team and eligible for salary negotiations, even while serving in the military during the Season.","Article V, Section 1",general,easy,2025-10-15 06:19:15.280651,2025-10-15 06:19:15.280651
00e3c92d-b74b-4566-9bb5-76f51bf735fb,a06d5db6-50fd-459e-bbc7-6b7b00595b20,Article XIV,ANTI-COLLUSION PROVISIONS,4,349,What must occur before the NBA League Office can disclose that a Restricted Free Agent is negotiating with a team?,"Before the NBA League Office can disclose that a Restricted Free Agent is negotiating with a team, an Offer Sheet must have been given to the ROFR Team.","Article XIV, Section 4",general,medium,2025-10-15 16:23:04.001061,2025-10-15 16:23:04.001061
00f5d85b-5d03-472e-b143-dfdc76c3d273,a20e64c7-8cc1-461e-82fa-f33cc8df3752,Article XXXIX,TERM OF AGREEMENT.............................. 542,1,,Define the term 'Expiration Date' in the context of the CBA.,"The 'Expiration Date' refers to the date on which the current CBA is set to end, as outlined in Article XXXIX, Section 1.","Article XXXIX, Section 1",general,easy,2025-10-15 16:40:38.932388,2025-10-15 16:40:38.932388
01111f99-2d45-461e-8bc3-3a7a3bb4a147,ac796cd0-1176-473a-96a4-b1f409825d15,Article X,PLAYER ELIGIBILITY AND NBA DRAFT,9,NBA Draft Combine.,"If a player is deemed ineligible for the draft due to non-participation in the Combine, when can he next be eligible to sign an NBA contract?",A player deemed ineligible for the draft due to non-participation in the Combine may not sign an NBA contract until he has been eligible for at least one NBA Draft following the draft in which he was ineligible.,"Article X, Section 9",player-movement,medium,2025-10-15 16:20:03.650858,2025-10-15 16:20:03.650858
0134c0e6-b213-4e19-aad0-df3f4671e9dc,fe882117-2e54-45cb-830f-5dce066891f6,Article XX,SCHEDULING,2,367,"If a team has an exhibition game scheduled, what restrictions are placed around the timing of this game relative to Regular Season games and the All-Star Game?","Exhibition games cannot be played on the three days prior to the team's first Regular Season game, the day before a Regular Season game, or the day before and the day after the All-Star Game.","Article XX, Section 2",general,hard,2025-10-15 06:30:59.429234,2025-10-15 06:30:59.429234
014b0d0c-285b-44d8-a722-455d126809b4,89d3520b-a727-48ad-943d-6e87199e96d1,Article XXX,NO-STRIKE AND NO-LOCKOUT,3,No Breach of Player Contracts.,"In a scenario where the Players Association threatens to breach Player Contracts, what section of the CBA would address this issue?","In such a scenario, Article XXX, Section 3 of the CBA would address this issue, as it specifically prohibits the Players Association from threatening to breach or induce the breach of Player Contracts.","Article XXX, Section 3",general,medium,2025-10-15 06:37:01.931997,2025-10-15 06:37:01.931997
01556e78-1dff-48e4-b780-1789e2d323a4,f231f3f8-dc36-456b-9573-dfecba6c374d,Article XXXVIII,"INTEGRATION, ENTIRE AGREEMENT, INTERPRETATION, AND CHOICE OF LAW",Section 2,Interpretation.,How should the NBA and the Players Association interpret their agreement according to Section 2(b)?,"The NBA and Players Association should interpret their agreement without reference to any WNBA or NBAGL agreements, contracts, or decisions. This includes not considering any past, present, or future agreements or judicial decisions related to these entities.","Article Article XXXVIII, Section Section 2",general,medium,2025-10-15 16:09:58.803579,2025-10-15 16:09:58.803579
016d13ba-94a0-40b3-9ec9-80af65cba7ec,95edc348-9f23-4419-a840-ad3ef991cefb,Article XIII,CIRCUMVENTION,1,General Prohibitions.,What is a scenario where a team's agreement with a sponsor could be considered circumvention?,"A scenario of circumvention occurs if a sponsor pays a player under contract with a team substantially more than the fair market value for non-basketball services, while the player's team contract is significantly below market value, suggesting an indirect benefit to the team.","Article XIII, Section 1",draft,hard,2025-10-15 06:25:28.94809,2025-10-15 06:25:28.94809
0183da41-e5ff-44ae-8d54-c1b5ded17910,ec726dbf-3832-44eb-963d-b35f5ca1685b,Article XXIX,MISCELLANEOUS,Section 1,Active List.,For how long can a team have only eleven players on its Active List?,A team can have eleven players on its Active List for no more than two consecutive weeks and a total of twenty-eight days during the Regular Season.,"Article XXIX, Section 1",arbitration,medium,2025-10-15 02:46:29.857779,2025-10-15 02:46:29.857779
018c55b8-0d76-4ddf-a72f-b3d9595111ab,5123b44f-1763-48ed-bda6-8c84ce288397,Article XXXIX,TERM OF AGREEMENT.............................. 542,8,,Define the term 'Designated Share' in the context of the NBA CBA.,"Designated Share refers to the percentage of Basketball Related Income (BRI) allocated to players, which is a key component in determining salary caps and player compensation under the CBA.","Article XXXIX, Section 8",general,medium,2025-10-16 01:23:18.908497,2025-10-16 01:23:18.908497
0196776c-a108-4374-a381-25519a25f96e,b0f6f03a-9d30-4e0a-863e-45448155b50e,Article XXVIII,MEDIA RIGHTS,2,No Suit.,Under what circumstances can the Players Association take legal action related to media rights?,"The Players Association can take legal action in cases involving an 'Endorsement' or an 'Unauthorized Sponsor Promotion,' or as allowed under Section 3(f) of Article XXVIII.","Article XXVIII, Section 2",general,medium,2025-10-15 06:36:26.605768,2025-10-15 06:36:26.605768
01a3fc53-26c4-4938-bb6b-052b93658718,c04353c7-ef9a-413a-85c7-a73885c2e54f,Article XI,FREE AGENCY,3,Withholding Services.,In what scenario can a player who has withheld services still sign with another team?,"A player who has withheld services can sign with another professional basketball team only if the team for which the player last played expressly agrees to allow it. Without this agreement, the player is not entitled to negotiate or sign with other teams.","Article XI, Section 3",free-agency,medium,2025-10-15 16:20:35.812692,2025-10-15 16:20:35.812692
01a8474d-705f-4d02-8c38-10ccc3c15899,8123a677-6719-4fcf-b4f3-479c3c0b6b71,Article XIV,ANTI-COLLUSION PROVISIONS,Section 9,Calculation of Damages.,"In a scenario where one team is a first-time violator and another team is a second-time violator, how are the damages calculated?","The first-time violator is jointly and severally liable for two times the compensatory damages, while the second-time violator is liable for three times the compensatory damages.","Article XIV, Section 9",general,hard,2025-10-15 02:39:09.137774,2025-10-15 02:39:09.137774
01db972f-4f9d-4b94-a581-b5fa9ddc6345,db6c876b-5422-475e-8023-080c3c4c7897,Article XXXIII,ANTI-DRUG PROGRAM AND SUBSTANCE ABUSE,4,Testing.,What happens if a player's test result is reported as 'invalid' or 'endogenous steroids abnormally low'?,"The player must submit to a retest within 30 days. Depending on the retest result, different consequences apply, such as dismissal or penalties for specific substances.","Article XXXIII, Section 4",general,hard,2025-10-15 16:39:51.379789,2025-10-15 16:39:51.379789
01dd2e15-e29f-47be-935f-1c3d9ca7bef7,983c3d9d-3273-4b89-b882-9bd8fe91df70,Article VII,"BASKETBALL RELATED INCOME, SALARY CAP, MINIMUM TEAM SALARY, TAX LEVEL, APRON LEVELS, AND DESIGNATED SHARE ARRANGEMENT",Section 1,Definitions.,"What happens if an NBA team is found to have willfully understated BRI by more than $5,511,614?","If found by the System Arbitrator, the understated BRI amount is added to the current Salary Cap Year's BRI with interest. The team is fined $3 million for the first violation, increasing by $1.5 million for each subsequent violation, with fines distributed to charitable organizations.","Article VII, Section 1",salary-cap,medium,2025-10-15 02:30:12.709784,2025-10-15 02:30:12.709784
01ede9a7-9e4e-416e-b54d-b0ac475bb451,f876ba45-9c06-4cff-b248-40d2fb4ec99b,Article XXIII,EXHIBITION GAMES AND,4,Summer Leagues.,What are the restrictions on compensation that a player can receive while participating in a summer league?,"Players can only receive a reasonable expense allowance for meals, lodging, and transportation related to the summer league, and the Team may purchase a disability insurance policy covering the term of the summer league.","Article XXIII, Section 4",conduct,hard,2025-10-15 06:33:50.537377,2025-10-15 06:33:50.537377
01f76617-5bfd-40b5-9260-2a3cf441ef97,8e297f97-ae08-4537-99d6-016cffe72e9f,Article XX,SCHEDULING,6,Holidays.,What are the conditions under which games can be played before 6 p.m. on January 1 and Good Friday?,Games can be played before 6 p.m. on January 1 and Good Friday if the Players Association consents. The Association will consent to two games on Good Friday and four on January 1 if they are nationally broadcast and the teams are in the same time zone or close geographic proximity.,"Article XX, Section 6",general,medium,2025-10-15 06:31:24.241269,2025-10-15 06:31:24.241269
01f8e032-be6f-4481-a10d-0ee37f14c25b,fbb67327-f7bd-403e-92de-719ec8ad5051,Article XXIX,MISCELLANEOUS,9,Game Tickets.,Can NBA players acquire ownership in an NBA team during the term of their contract?,"No, NBA players may not acquire or hold a direct or indirect interest in the ownership of any NBA team during the term of their contract, with the exception of owning less than 1% of publicly-traded securities of a company that owns an NBA team.","Article XXIX, Section 9",arbitration,medium,2025-10-15 16:33:43.92138,2025-10-15 16:33:43.92138
021175d7-8112-4107-9e2d-c3e900bb9230,d13b6364-a55e-4c8b-abaa-616ff8a5b43c,Article XIV,ANTI-COLLUSION PROVISIONS,3,Individual Negotiations.,Define 'Right of First Refusal' in the context of the NBA CBA's anti-collusion provisions.,"The 'Right of First Refusal' allows a player's current team to match any contract offer the player receives from another team. However, Article XIV, Section 3 prohibits teams from refusing to negotiate with a player based on this right being exercised.","Article XIV, Section 3",general,hard,2025-10-15 16:22:56.141491,2025-10-15 16:22:56.141491
02222a1e-3e1b-4563-b074-763b9092d2ba,80f3dd2f-4da1-4db5-bf87-72eb7d6b7eb8,Article XXXI,GRIEVANCE AND ARBITRATION PROCEDURE,5,Procedure.,"Under what conditions can a party file a pre-hearing or post-hearing brief, and what are the limitations?","A party can file a pre-hearing or post-hearing brief unless the opposing party shows that it is unreasonable. Pre-hearing briefs must be filed three business days before the hearing, cannot exceed ten pages, and must adhere to the formatting rules of the U.S. District Court for the Southern District of New York.","Article XXXI, Section 5",general,hard,2025-10-15 16:37:29.327395,2025-10-15 16:37:29.327395
02224857-af8b-4cda-82c5-16e3042ed782,9acbb355-9d2c-4488-81c9-058ca3fba8cf,Article XX,SCHEDULING,3,Regular Season Games.,"If a team schedules 83 games in a season, what part of the CBA is being violated?","The team would be violating Article XX, Section 3 of the CBA, which states that no team will play more than 82 Regular Season games.","Article XX, Section 3",general,medium,2025-10-15 16:29:12.038675,2025-10-15 16:29:12.038675
0224f056-de87-42d6-aaeb-96f547f94746,b49ac1e3-4233-421a-a9f3-d376e206dac9,Article XXXI,GRIEVANCE AND ARBITRATION PROCEDURE AND SPECIAL PROCEDURES WITH RESPECT TO DISPUTES INVOLVING PLAYER DISCIPLINE,Section 7,Appointment and Replacement of Grievance Arbitrator.,What is the procedure for discharging a Grievance Arbitrator as of September 1?,Either party may discharge the Grievance Arbitrator by serving written notice upon them and the other party during the period July 27 through August 1 preceding the September 1 of each year.,"Article XXXI, Section 7",arbitration,easy,2025-10-15 02:52:33.294871,2025-10-15 02:52:33.294871
022d34d5-fbe1-4409-a432-ba314155a5ad,53968c24-ef60-46c4-ba8a-dc204caf6a7b,Article XXXVIII,"INTEGRATION, ENTIRE AGREEMENT, INTERPRETATION, AND CHOICE OF LAW",Main,"INTEGRATION, ENTIRE AGREEMENT, INTERPRETATION, AND CHOICE OF LAW",How does Article XXXVIII address the interpretation of the agreement?,Article XXXVIII specifies that the interpretation of the CBA should be based on the text of the agreement and the intentions of the parties involved.,Article XXXVIII,general,medium,2025-10-20 17:29:10.932721,2025-10-20 17:29:10.932721
02336023-4e7b-4091-9af4-f24d796d78b9,a37349c1-2b75-4861-8fa4-c6cfab64b160,Article XXXVII,PLAYER APPEARANCES AND ADDITIONAL CONTENT,4,Uniform.,"What constitutes a 'Uniform' according to Article XXXVII, Section 4(a) of the NBA CBA?","A 'Uniform' includes all clothing and items such as kneepads, wristbands, and headbands supplied by the team that a player wears during an NBA game or practice, excluding Sneakers.","Article XXXVII, Section 4",general,medium,2025-10-16 01:24:11.404234,2025-10-16 01:24:11.404234
0234cdc1-55ff-4c37-ae7c-1982dc7caa19,9cf8f792-8de4-4224-b789-baad5be3bcc7,Article XXXIII,ANTI-DRUG PROGRAM AND SUBSTANCE ABUSE TREATMENT,Section 5,Reasonable Cause Testing or Hearing.,How is information evaluated during a Reasonable Cause Hearing?,"The Independent Expert uses their independent judgment based on experience in substance abuse detection. Information often includes reports from reliable sources, whose identities may remain confidential.","Article Article XXXIII, Section Section 5",general,medium,2025-10-15 05:41:46.58773,2025-10-15 05:41:46.58773
024d86ec-fb46-4de4-b4d2-25ee9ad6e330,7705fc93-db1a-4501-b220-8c5194658d99,Article XXXIX,TERM OF AGREEMENT,Section 6,Mutual Right of Termination.,How must the NBA or Players Association communicate their intention to terminate the Agreement under Article XXXIX?,They must serve written notice of termination to the other party at least sixty (60) days prior to the effective date of the termination.,Article XXXIX,general,medium,2025-10-20 17:30:06.749497,2025-10-20 17:30:06.749497
0260c8cd-1fe9-431a-b51c-fbc287906713,3e47c81e-9899-43b8-9ab4-919b03c8991e,Article XXIII,EXHIBITION GAMES AND,2,Inter-squad Scrimmage.,"What is an inter-squad scrimmage according to Article XXIII, Section 2 of the CBA?",An inter-squad scrimmage is a game or practice session between two teams that have qualified for the playoffs but are not required to participate in the first round. It is not open to the general public.,"Article XXIII, Section 2",conduct,easy,2025-10-15 06:33:37.348428,2025-10-15 06:33:37.348428
0275fd81-652f-4256-b65e-a0a77503b43e,c77937f7-3620-467c-86db-54b22e20d65c,Article XX,SCHEDULING,Section 6,Holidays.,Under what circumstance can a team depart for an away game before 3 p.m. on December 25 or January 1?,A team can depart before 3 p.m. on December 25 or January 1 if reasonable transportation arrangements for the game cannot be made at or after 3 p.m. local time.,"Article XX, Section 6",general,hard,2025-10-15 02:43:08.843973,2025-10-15 02:43:08.843973
027ac547-3411-4b30-a9c1-de7c22ae5703,b1d9fa7c-af01-42de-a4d3-133d457441be,Article VII,"BASKETBALL RELATED INCOME, SALARY CAP, MINIMUM TEAM SALARY, TAX LEVEL, APRON LEVELS, AND DESIGNATED SHARE ARRANGEMENT",Section 10,Accounting Procedures.,How are disputes regarding Interim Audit Reports resolved according to Section 10?,Disputes regarding Interim Audit Reports are resolved exclusively through the dispute-resolution procedures outlined in Article XXXII of the CBA. This ensures that any disagreements are settled in accordance with the established process.,"Article VII, Section 10",salary-cap,hard,2025-10-15 02:30:22.69607,2025-10-15 02:30:22.69607
027f786e-b6bf-4c0c-a96a-3287333210e4,5123b44f-1763-48ed-bda6-8c84ce288397,Article XXXIX,TERM OF AGREEMENT.............................. 542,8,,Define 'Mutual Right of Termination' as mentioned in Article XXXIX.,The 'Mutual Right of Termination' refers to the provision allowing both the NBA and the NBPA to agree to terminate the collective bargaining agreement before its scheduled expiration under certain conditions.,"Article XXXIX, Section 8",general,easy,2025-10-15 06:43:03.474467,2025-10-15 06:43:03.474467
02a38be8-7b40-41d7-aff9-490ab7f246b4,3e47c81e-9899-43b8-9ab4-919b03c8991e,Article XXIII,EXHIBITION GAMES AND,2,Inter-squad Scrimmage.,"What is an inter-squad scrimmage according to Article XXIII, Section 2 of the CBA?",An inter-squad scrimmage is a game or practice match between players of the same team or with another similarly-situated team that has qualified for the playoffs but is not required to play in the first round. This event is not open to the general public.,"Article XXIII, Section 2",conduct,easy,2025-10-15 16:32:14.298846,2025-10-15 16:32:14.298846
02b455f8-056e-476c-bf64-afc54b7f65e7,925964e8-3fab-47e3-901d-d4ca151b4f44,Article XXIX,MISCELLANEOUS,Section 18,League-Wide Public Service Campaigns.,What might happen if the NBA fails to notify the Players Association two weeks in advance about a public service campaign?,"If the NBA fails to provide the required two-week notice, it may not be able to mandate player participation in the campaign, potentially breaching the terms outlined in the CBA.","Article XXIX, Section 18",arbitration,hard,2025-10-15 02:47:25.288608,2025-10-15 02:47:25.288608
02b640e6-4ef7-4e0f-88e5-ef1ceed4b7cc,a15fe32c-a9af-45d1-a264-d31f70db0e4d,Article II,UNIFORM PLAYER CONTRACT,Section 13,General.,Are teams allowed to compensate players with anything other than cash under a Uniform Player Contract?,"No, the only form of compensation a team may pay a player is cash via a check made payable to the player or via direct deposit to the player's bank account. Compensation of any other kind is prohibited.","Article II, Section 13",player-contracts,easy,2025-10-15 02:23:44.645061,2025-10-15 02:23:44.645061
02cc2670-c38d-4bed-ba9c-0ef997ecca50,45858895-5d2f-4c45-be97-64fd7150ca46,Article XXXVI,PLAYER AGENTS,4,529,What is the role of the Players Association in indemnifying the NBA and its Teams?,"The Players Association agrees to indemnify and hold harmless the NBA, its Teams, and their respective owners from any claims related to the Players Association's Regulations Governing Player Agents and specific provisions of Article XXXVI, Section 4.","Article XXXVI, Section 4",general,easy,2025-10-15 06:44:01.371995,2025-10-15 06:44:01.371995
02ea4c45-1d7c-4976-a3aa-016a888fabdc,2c9aed01-d9f8-4a7c-ac1c-d049f5e7a8a3,Article XIV,ANTI-COLLUSION PROVISIONS,8,Remedies for Economic Injury.,In what scenario can a player recover damages for the period after terminating his contract under the Anti-Collusion Provisions?,"A player cannot recover damages for the period after terminating his contract if he exercises his right to terminate without reinstating it. However, if he does not terminate or chooses to reinstate his contract, he may recover damages for the entire period of his injury.","Article XIV, Section 8",general,hard,2025-10-15 06:26:46.359024,2025-10-15 06:26:46.359024
02f4a0ed-bd7d-4121-9c5f-40124ede9e5c,7653f160-c91c-46b8-9487-22935669c623,Article XXIX,MISCELLANEOUS,Section 6,Games Played Requirement for Certain League Honors.,Define a 'season-ending injury' according to the CBA.,"A 'season-ending injury' is defined as an injury that, in the opinion of a physician jointly selected by the NBA and Players Association, makes it substantially more likely than not that the player would be unable to play through May 31 following the date of the injury.","Article XXIX, Section 6",arbitration,medium,2025-10-15 02:48:27.757515,2025-10-15 02:48:27.757515
02fdabbe-f5db-4919-9abf-9f298a0727d2,517b0daa-9315-46b7-8660-c3010779eefc,Article XXXI,GRIEVANCE AND ARBITRATION PROCEDURE AND SPECIAL PROCEDURES WITH RESPECT TO DISPUTES INVOLVING PLAYER DISCIPLINE,Section 13,Expedited Procedure.,"In a scenario where the Grievance Arbitrator is unavailable, how should an arbitrator be selected for an expedited procedure?","If the Grievance Arbitrator is unavailable and the parties cannot agree on another arbitrator, an arbitrator should be selected according to the procedures set forth in Section 7(b) of the same Article.","Article XXXI, Section 13",arbitration,hard,2025-10-15 02:51:37.92578,2025-10-15 02:51:37.92578
0314f743-135e-46b1-b504-0e5fb7473df2,6a9bcdf1-3463-4be3-9861-8ef9eec17527,Article XXXIX,TERM OF AGREEMENT.............................. 542,3,,What is the primary focus of Article XXXIX in the CBA?,"Article XXXIX primarily focuses on the term of the agreement between the NBA and the Players Association, detailing the conditions under which the agreement can be terminated.","Article XXXIX, Section 3",general,easy,2025-10-15 06:41:45.578691,2025-10-15 06:41:45.578691
0318986a-c384-47d5-9bb3-7e9eec6cd967,78a39ecd-9d3f-4c87-8f06-59ef1a575032,Article XII,OPTION CLAUSES,4,Exercise Period.,What is the deadline for exercising a player's option that would make them a Restricted Free Agent if not exercised?,An option that would make a player a Restricted Free Agent if not exercised must be exercised prior to June 25 immediately prior to the Season covered by such Option.,"Article XII, Section 4",trades,medium,2025-10-15 06:25:13.336758,2025-10-15 06:25:13.336758
031e22c5-f881-495a-956a-d037eef76f15,2b335a35-91b9-4cf0-9d1b-463395933574,Article IV,BENEFITS,Section 6,Additional Player Benefits.,"If a Two-Way Player is on the Active List for all knockout stage games and their team wins the In-Season Tournament, what prize amount do they receive?","The Two-Way Player would receive a prize amount equal to $250,000, calculated as $500,000 multiplied by a fraction (with 2 as the numerator, representing half a game per knockout stage game on the list, and 4 as the denominator, the total number of knockout stage games played by the team).","Article IV, Section 6",benefits,hard,2025-10-15 02:26:30.880368,2025-10-15 02:26:30.880368
033347a7-b53e-4575-8855-bb67f0b1b267,6fa46054-910e-4837-b9f5-d3564eb8949a,Article XI,FREE AGENCY,5,Restricted Free Agency.,Define 'Right of First Refusal' in the context of Restricted Free Agency.,"The Right of First Refusal allows the ROFR Team to match any Offer Sheet a Restricted Free Agent receives from another team, thereby retaining the player by entering into a contract with the same terms offered by the New Team.","Article XI, Section 5",free-agency,easy,2025-10-15 16:20:55.016971,2025-10-15 16:20:55.016971
033437c4-85b5-4284-bebd-f091a166a955,5c707910-7436-4b55-8c46-c166da2e4829,Article XXXIII,ANTI-DRUG PROGRAM AND SUBSTANCE ABUSE TREATMENT,Section 18,Prescriptions Under the Anti-Drug Program.,What actions must be taken if a proposed substance could create an adverse reaction with another prescription?,"If the designated physician of the player's team advises that there could be a possible adverse reaction with another prescription, a discussion must be held among the Medical Director, the prescribing physician, and the team physician to modify one or both prescriptions to avoid the potential adverse reaction.","Article Article XXXIII, Section Section 18",general,medium,2025-10-15 05:40:49.033247,2025-10-15 05:40:49.033247
03358a2a-e62e-4369-890f-190c9dcdc23c,01c19440-d033-466f-974d-38e81993727f,Article XXXIX,TERM OF AGREEMENT,6,Mutual Right of Termination.,"Scenario: If a court declares a provision in Article X unenforceable, what must the NBA do to terminate the Agreement?",The NBA must serve written notice of termination to the Players Association at least 60 days before the intended termination date.,"Article XXXIX, Section 6",general,medium,2025-10-16 01:22:52.972166,2025-10-16 01:22:52.972166
03ebbcf8-00be-490a-ba47-4a2ef9756723,8123a677-6719-4fcf-b4f3-479c3c0b6b71,Article XIV,ANTI-COLLUSION PROVISIONS,Section 9,Calculation of Damages.,What are compensatory damages in the context of anti-collusion provisions?,"Compensatory damages refer to the amount by which any player has been economically injured as a result of a violation of the anti-collusion provisions as outlined in Article XIV, Section 9.","Article XIV, Section 9",general,easy,2025-10-15 02:39:09.137774,2025-10-15 02:39:09.137774
